anio_tri,provincia,ingresos (en miles de pesos)
20211,Corrientes,7369030.170990607
20212,Corrientes,7841617.470493677
20213,Corrientes,9093212.857565459
20214,Corrientes,9745738.045336332
20221,Corrientes,12473017.445310717
20222,Corrientes,13739601.38818133
20223,Corrientes,15225706.295038732
20224,Corrientes,12343457.9097656
20231,Corrientes,14244044.337943092
20232,Corrientes,15859173.340593722
20141,Córdoba,394051.81572946865
20142,Córdoba,439567.68818405207
20143,Córdoba,474319.28085962444
20144,Córdoba,543318.9390339893
20151,Córdoba,670667.483585063
20152,Córdoba,660486.4757376193
20153,Córdoba,739653.5107322842
20154,Córdoba,775466.3534484634
20161,Córdoba,825174.2791445884
20162,Córdoba,945501.9175582882
20163,Córdoba,1012219.7440165229
20164,Córdoba,1085751.3275118084
20171,Córdoba,1261247.8832268948
20172,Córdoba,1435052.2566750462
20173,Córdoba,1577017.5580785598
20174,Córdoba,1787563.08192932
20181,Córdoba,2103615.2542078113
20182,Córdoba,2277962.786551229
20183,Córdoba,2489188.322537829
20184,Córdoba,2722884.119116596
20191,Córdoba,3328944.583492402
20192,Córdoba,3550191.060929448
20193,Córdoba,3734184.4146312303
20194,Córdoba,4283029.098570655
20201,Córdoba,5322576.009119857
20202,Córdoba,5868871.656637723
20203,Córdoba,6051604.929400296
20204,Córdoba,6584471.994466644
20211,Córdoba,7247289.059895344
20212,Córdoba,7703302.987738302
20213,Córdoba,8787665.607323073
20214,Córdoba,9661283.169252938
20221,Córdoba,11986802.799191713
20222,Córdoba,13271048.625311833
20223,Córdoba,14889119.395836173
20224,Córdoba,12012321.23667099
20231,Córdoba,13349533.932861757
20232,Córdoba,15054348.843239605
20141,Entre Ríos,335995.70980622614
20142,Entre Ríos,371713.15864906827
20143,Entre Ríos,398636.0436683374
20144,Entre Ríos,466291.35538642085
20151,Entre Ríos,672075.4333016996
20152,Entre Ríos,661259.2052704077
20153,Entre Ríos,737483.9490659329
20154,Entre Ríos,776991.8412207784
20161,Entre Ríos,852850.3463517819
20162,Entre Ríos,957720.2056893072
20163,Entre Ríos,1029004.6682634953
20164,Entre Ríos,1108446.2725113616
20171,Entre Ríos,1280176.286301021
20172,Entre Ríos,1439203.993091442
20173,Entre Ríos,1515599.2503771153
20174,Entre Ríos,1761255.2881867017
20181,Entre Ríos,2100544.932492969
20182,Entre Ríos,2308019.5209924914
20183,Entre Ríos,2535446.875885332
20184,Entre Ríos,2963465.016536468
20191,Entre Ríos,3759500.3524006517
20192,Entre Ríos,3906054.687045383
20193,Entre Ríos,4107136.2204266614
20194,Entre Ríos,4591597.626128181
20201,Entre Ríos,5505631.463258806
20202,Entre Ríos,5946232.087128509
20203,Entre Ríos,6099737.987830289
20204,Entre Ríos,6534384.306606846
20211,Entre Ríos,7262034.952578558
20212,Entre Ríos,7724406.917136067
20213,Entre Ríos,8759234.023707807
20214,Entre Ríos,9407937.32128683
20221,Entre Ríos,11600684.215740569
20222,Entre Ríos,12630568.792917185
20223,Entre Ríos,13986838.554890072
20224,Entre Ríos,11650277.972581001
20231,Entre Ríos,12766218.35847593
20232,Entre Ríos,14210144.51257789
20141,Formosa,322172.08787096484
20142,Formosa,355564.8206028359
20143,Formosa,383115.5217554918
20144,Formosa,439728.88571600505
20151,Formosa,547632.5617652183
20152,Formosa,535018.8458706196
20153,Formosa,601778.1325927153
20154,Formosa,635500.1461496209
20161,Formosa,700576.7776920283
20162,Formosa,784436.6061642313
