anio_tri,provincia,ingresos (en miles de pesos)
20154,Santiago Del Estero,440811.1659728452
20161,Santiago Del Estero,464098.87115228456
20162,Santiago Del Estero,500715.26576263946
20163,Santiago Del Estero,511028.8772060874
20164,Santiago Del Estero,543898.2447958335
20171,Santiago Del Estero,616834.0262904332
20172,Santiago Del Estero,659054.2030204232
20173,Santiago Del Estero,1704838.0657471102
20174,Santiago Del Estero,1577038.2335052856
20181,Santiago Del Estero,2222540.141745378
20182,Santiago Del Estero,2434898.9795356626
20183,Santiago Del Estero,2694077.4866711874
20184,Santiago Del Estero,3000795.077652518
20191,Santiago Del Estero,3656329.7458845
20192,Santiago Del Estero,5280772.846978498
20193,Santiago Del Estero,5774440.883550924
20194,Santiago Del Estero,5002587.481403372
20201,Santiago Del Estero,6133325.31549188
20202,Santiago Del Estero,6729765.895320829
20203,Santiago Del Estero,6693860.164890299
20204,Santiago Del Estero,7076345.950238077
20211,Santiago Del Estero,8077726.705609531
20212,Santiago Del Estero,8586157.685898792
20213,Santiago Del Estero,9746249.718593335
20214,Santiago Del Estero,10316590.362994855
20221,Santiago Del Estero,12645450.724695941
20222,Santiago Del Estero,13879208.316107599
20223,Santiago Del Estero,15515623.071342286
20224,Santiago Del Estero,12679325.793221872
20231,Santiago Del Estero,13957915.575929778
20232,Santiago Del Estero,15620399.483859649
20141,Tierra Del Fuego,407440.6312068028
20142,Tierra Del Fuego,449317.6267144584
20143,Tierra Del Fuego,487741.60828016006
20144,Tierra Del Fuego,557687.7151371742
20151,Tierra Del Fuego,772607.2062160672
20152,Tierra Del Fuego,747754.7681458427
20153,Tierra Del Fuego,823480.9387892504
20154,Tierra Del Fuego,762734.7321058509
20161,Tierra Del Fuego,834182.112295557
20162,Tierra Del Fuego,944481.3901670635
20163,Tierra Del Fuego,1017147.8529305415
20164,Tierra Del Fuego,1123132.5747581793
20171,Tierra Del Fuego,1279987.6435522267
20172,Tierra Del Fuego,1414271.7050761126
20173,Tierra Del Fuego,1412432.9707015285
20174,Tierra Del Fuego,1435045.1704705867
20181,Tierra Del Fuego,1833001.3608474424
20182,Tierra Del Fuego,2799954.947398304
20183,Tierra Del Fuego,3051540.5747529403
20184,Tierra Del Fuego,3323561.384406941
20191,Tierra Del Fuego,4027596.141138034
20192,Tierra Del Fuego,4197238.835249213
20193,Tierra Del Fuego,4458015.62584202
20194,Tierra Del Fuego,4111523.914254704
20201,Tierra Del Fuego,4862243.185956771
20202,Tierra Del Fuego,5232902.31790423
20203,Tierra Del Fuego,5245831.94743984
20204,Tierra Del Fuego,5460020.411249508
20211,Tierra Del Fuego,6055192.893560785
20212,Tierra Del Fuego,5541166.725961668
20213,Tierra Del Fuego,8714533.954251602
20214,Tierra Del Fuego,9549511.976555414
20221,Tierra Del Fuego,11662382.816304332
20222,Tierra Del Fuego,12860190.368315328
20223,Tierra Del Fuego,14242467.059607003
20224,Tierra Del Fuego,11515472.730598519
20231,Tierra Del Fuego,12770583.769542318
20232,Tierra Del Fuego,14257717.467907967
20141,Tucumán,379301.88087925897
20142,Tucumán,422220.9944570349
20143,Tucumán,449048.18727682356
20144,Tucumán,530686.6317251874
20151,Tucumán,650623.0484134763
20152,Tucumán,638236.6524043047
20153,Tucumán,717619.1549341455
20154,Tucumán,757895.2173793629
20161,Tucumán,829144.5601454062
20162,Tucumán,925500.576147195
20163,Tucumán,996420.3372861196
20164,Tucumán,1081084.0287743532
20171,Tucumán,1254267.8311390274
20172,Tucumán,1405840.9247374553
20173,Tucumán,1519914.7139129657
20174,Tucumán,1703627.804624283
20181,Tucumán,2062966.1379233864
20182,Tucumán,2260744.375834037
20183,Tucumán,2443036.007871916
20184,Tucumán,2642562.7727971533
20191,Tucumán,3199550.8949737945
20192,Tucumán,3166819.2691642074
20193,Tucumán,3252160.9294320364
20194,Tucumán,4380240.63406673
20201,Tucumán,5449990.781628576
20202,Tucumán,6322261.409390036
20203,Tucumán,6478040.22173633
20204,Tucumán,6988003.490354291
20211,Tucumán,7647108.6586280465
20212,Tucumán,7989057.988354888
20213,Tucumán,8936150.068157887
20214,Tucumán,9672115.278697673
20221,Tucumán,12134021.164827777
20222,Tucumán,13610507.689238677
20223,Tucumán,15593173.002115063
20224,Tucumán,12138528.14567668
20231,Tucumán,14002886.022347584
20232,Tucumán,15914384.187889628
